region,efficiency_change,clustering_change,density_change,component_change
"Superior colliculus, sensory related",-0.0011599645818150975,7.494789782759418e-05,-0.00515162883775418,0
Inferior colliculus,-0.0017612226919238904,1.1787077119825168e-05,-0.006787549117812443,0
Nucleus of the brachium of the inferior colliculus,0.0009307738465175868,-1.006951483064002e-05,0.003480461150638452,-1
Nucleus sagulum,-0.001774887648971831,0.0003768655992868852,-0.005986992385017897,0
Parabigeminal nucleus,0.0008351191471821516,-3.6682126742412456e-05,0.0032368134493531136,-1
Midbrain trigeminal nucleus,0.0010127635888052314,-4.174529814165344e-05,0.0036893020374544287,-1
Subcommissural organ,0.0009990986317572905,-3.953014710582334e-05,0.0036544952229850673,-1
"Substantia nigra, reticular part",0.0006164798344153997,-5.9550052890364754e-05,0.002679904417843905,-1
Ventral tegmental area,-0.0022394961886012163,5.4009347235530745e-05,-0.007970980809769582,0
Paranigral nucleus,0.0011220832451886073,-7.10188338983505e-05,0.003967756553208937,-1
"Midbrain reticular nucleus, retrorubral area",0.0008897789753739146,-1.8698515292964883e-05,0.003376040707230368,-1
Midbrain reticular nucleus,-0.0022394961886012163,5.4009347235530745e-05,-0.008284242139993453,0
"Superior colliculus, motor related",-0.0022394961886012163,5.4009347235530745e-05,-0.008319048954462813,0
Periaqueductal gray,-0.0022394961886012163,5.4009347235530745e-05,-0.008249435325524091,0
Anterior pretectal nucleus,-0.0016382380784925735,6.246216989229964e-05,-0.006543901416527105,0
Medial pretectal area,0.0007667943619425979,-3.223416833086837e-05,0.003062779377006498,-1
Nucleus of the optic tract,0.0006164798344153997,-4.453438279642015e-05,0.002679904417843905,-1
Nucleus of the posterior commissure,0.0007121345337508349,-3.674705651092701e-05,0.0029235521191292436,-1
Olivary pretectal nucleus,0.0007531294048946571,-3.654655547197124e-05,0.0030279725625371365,-1
Posterior pretectal nucleus,0.0009444388035655276,-1.676449360945864e-05,0.003515267965107813,-1
Cuneiform nucleus,0.0006438097485111311,-4.4611084578374574e-05,0.002749518046782628,-1
Red nucleus,-0.0020345218328824055,6.962275980153494e-05,-0.007240037705913758,0
Oculomotor nucleus,0.0011630781163324295,-7.043157190703405e-05,0.00407217699661683,-1
Medial accesory oculomotor nucleus,0.0010264285458531721,-4.6715542063240786e-05,0.0037241088519235992,-1
Edinger-Westphal nucleus,0.0009854336747093498,-4.1564366939869044e-05,0.0036196884085157063,-1
Trochlear nucleus,0.0012040729874762519,-7.853028986191456e-05,0.004176597440024915,-1
Paratrochlear nucleus,0.0011904080304283111,-0.00010421488900107653,0.004141790625555553,-1
Ventral tegmental nucleus,0.0012723977727158056,-0.0001157690927399848,0.00435063151237153,-1
Anterior tegmental nucleus,0.001094753331092726,-4.756490654108424e-05,0.0038981429242702145,-1
Lateral terminal nucleus of the accessory optic tract,0.0009854336747093498,-1.5234337993858511e-05,0.0036196884085157063,-1
Dorsal terminal nucleus of the accessory optic tract,0.0007531294048946571,-3.135500371845297e-05,0.0030279725625371365,-1
Medial terminal nucleus of the accessory optic tract,0.0007121345337508349,-5.5263951607068334e-05,0.0029235521191292436,-1
"Substantia nigra, compact part",0.0009034439324218554,-3.783803202247096e-05,0.0034108475216997293,-1
Pedunculopontine nucleus,0.0008214541901342109,-2.478862852469254e-05,0.003202006634883752,-1
Interfascicular nucleus raphe,0.0007394644478467164,-3.923720887961656e-05,0.002993165748067775,-1
Interpeduncular nucleus,-0.002157506446313722,4.8983978406110906e-05,-0.008075401253177475,0
Rostral linear nucleus raphe,0.0008351191471821516,-3.3620744084637086e-05,0.0032368134493531136,-1
Central linear nucleus raphe,-0.002143841489265781,5.9027790127442704e-05,-0.007414071778260374,0
Dorsal nucleus raphe,-0.002212166274505485,5.9073628665953396e-05,-0.007344458149321652,0
Nucleus of the lateral lemniscus,0.000602814877367459,-5.123787731784672e-05,0.002645097603374544,-1
Principal sensory nucleus of the trigeminal,0.0007394644478467164,-4.124981163283005e-05,0.002993165748067775,-1
Parabrachial nucleus,-0.0022394961886012163,5.4009347235530745e-05,-0.007970980809769582,0
Superior olivary complex,-0.0005177116005624824,0.00036970170655695623,-0.002262663236800246,0
Barrington's nucleus,0.0012177379445240425,-9.024294164663397e-05,0.004211404254494276,-1
Dorsal tegmental nucleus,0.0012177379445240425,-0.00011365693502958193,0.004211404254494276,-1
Posterodorsal tegmental nucleus,0.0012177379445240425,-0.00011113146517835175,0.004211404254494276,-1
Pontine central gray,0.0007667943619425979,-2.8088809031144465e-05,0.003062779377006498,-1
Pontine gray,-0.001241954324102592,4.35786975608659e-05,-0.005360469724570157,0
"Pontine reticular nucleus, caudal part",-0.0017885526060197718,0.00019084831102979865,-0.006335060529711319,0
Supragenual nucleus,0.0013133926438596278,-0.0001314447572646912,0.004455051955779423,-1
Supratrigeminal nucleus,0.0009990986317572905,-2.917325947578397e-05,0.0036544952229850673,-1
Tegmental reticular nucleus,0.0007121345337508349,-4.314603665641051e-05,0.0029235521191292436,-1
Motor nucleus of trigeminal,0.001081088374044785,-4.031906791783213e-05,0.0038633361098010443,-1
Peritrigeminal zone,0.0010127635888052314,-3.625114084719386e-05,0.0036893020374544287,-1
Accessory trigeminal nucleus,0.001299727686811687,-7.599957642863237e-05,0.004420245141310252,-1
Parvicellular motor 5 nucleus,0.0008077892330862701,-3.515534224037279e-05,0.003167199820414391,-1
Intertrigeminal nucleus,0.0012860627297637463,-6.408125779013527e-05,0.004385438326840891,-1
Superior central nucleus raphe,0.0007941242760383293,-3.855071852805316e-05,0.0031323930059452207,-1
Locus ceruleus,0.0011494131592844888,-8.027426300484437e-05,0.00403737018214766,-1
Laterodorsal tegmental nucleus,-0.0022394961886012163,5.4009347235530745e-05,-0.007379264963791013,0
Nucleus incertus,-0.0020071919187865236,0.00021901448265309844,-0.006509094602057935,0
Pontine reticular nucleus,0.0007257994907987756,-3.890145000199727e-05,0.002958358933598605,-1
Nucleus raphe pontis,0.0011220832451886073,-8.195600159165367e-05,0.003967756553208937,-1
Subceruleus nucleus,0.0011494131592844888,-8.144707377609285e-05,0.00403737018214766,-1
