start_region,step,nodes_removed,efficiency,components
Rostrolateral visual area,6,7,0.7297317047708529,209
Rostrolateral visual area,7,8,0.7279872231328542,209
Rostrolateral visual area,8,9,0.7262151529252506,209
Rostrolateral visual area,9,10,0.7244576440782611,209
Rostrolateral visual area,10,11,0.7226722382942248,209
Accessory olfactory bulb,1,2,0.7382064503083612,209
Accessory olfactory bulb,2,3,0.7365336480739098,209
Accessory olfactory bulb,3,4,0.7348550012288031,209
Accessory olfactory bulb,4,5,0.7331498886965125,209
Accessory olfactory bulb,5,6,0.7314593921792345,209
Accessory olfactory bulb,6,7,0.7297317047708529,209
Accessory olfactory bulb,7,8,0.7279872231328542,209
Accessory olfactory bulb,8,9,0.7262151529252506,209
Accessory olfactory bulb,9,10,0.7244576440782611,209
Accessory olfactory bulb,10,11,0.7226722382942248,209
Anterior olfactory nucleus,1,2,0.7382064503083612,209
Anterior olfactory nucleus,2,3,0.7365336480739098,209
Anterior olfactory nucleus,3,4,0.7348550012288031,209
Anterior olfactory nucleus,4,5,0.7331498886965125,209
Anterior olfactory nucleus,5,6,0.7314593921792345,209
Anterior olfactory nucleus,6,7,0.7297317047708529,209
Anterior olfactory nucleus,7,8,0.7279872231328542,209
Anterior olfactory nucleus,8,9,0.7262151529252506,209
Anterior olfactory nucleus,9,10,0.7244576440782611,209
Anterior olfactory nucleus,10,11,0.7226722382942248,209
Taenia tecta,1,2,0.7382064503083612,209
Taenia tecta,2,3,0.7365336480739098,209
Taenia tecta,3,4,0.7348550012288031,209
Taenia tecta,4,5,0.7331498886965125,209
Taenia tecta,5,6,0.7314593921792345,209
Taenia tecta,6,7,0.7297317047708529,209
Taenia tecta,7,8,0.7279872231328542,209
Taenia tecta,8,9,0.7262151529252506,209
Taenia tecta,9,10,0.7244576440782611,209
Taenia tecta,10,11,0.7226722382942248,209
Dorsal peduncular area,1,2,0.7382064503083612,209
Dorsal peduncular area,2,3,0.7365336480739098,209
Dorsal peduncular area,3,4,0.7348550012288031,209
Dorsal peduncular area,4,5,0.7331498886965125,209
Dorsal peduncular area,5,6,0.7314593921792345,209
Dorsal peduncular area,6,7,0.7297317047708529,209
Dorsal peduncular area,7,8,0.7279872231328542,209
Dorsal peduncular area,8,9,0.7262151529252506,209
Dorsal peduncular area,9,10,0.7244576440782611,209
Dorsal peduncular area,10,11,0.7226722382942248,209
Piriform area,1,2,0.7382064503083612,209
Piriform area,2,3,0.7365336480739098,209
Piriform area,3,4,0.7348550012288031,209
Piriform area,4,5,0.7331498886965125,209
Piriform area,5,6,0.7314593921792345,209
Piriform area,6,7,0.7297317047708529,209
Piriform area,7,8,0.7279872231328542,209
Piriform area,8,9,0.7262151529252506,209
Piriform area,9,10,0.7244576440782611,209
Piriform area,10,11,0.7226722382942248,209
"Cortical amygdalar area, posterior part",1,2,0.7382064503083612,209
"Cortical amygdalar area, posterior part",2,3,0.7365336480739098,209
"Cortical amygdalar area, posterior part",3,4,0.7348550012288031,209
"Cortical amygdalar area, posterior part",4,5,0.7331498886965125,209
"Cortical amygdalar area, posterior part",5,6,0.7314593921792345,209
"Cortical amygdalar area, posterior part",6,7,0.7297317047708529,209
"Cortical amygdalar area, posterior part",7,8,0.7279872231328542,209
"Cortical amygdalar area, posterior part",8,9,0.7262151529252506,209
"Cortical amygdalar area, posterior part",9,10,0.7244576440782611,209
"Cortical amygdalar area, posterior part",10,11,0.7226722382942248,209
Field CA1,1,2,0.7382064503083612,209
Field CA1,2,3,0.7365336480739098,209
Field CA1,3,4,0.7348550012288031,209
Field CA1,4,5,0.7331498886965125,209
Field CA1,5,6,0.7314593921792345,209
Field CA1,6,7,0.7297317047708529,209
Field CA1,7,8,0.7279872231328542,209
Field CA1,8,9,0.7262151529252506,209
Field CA1,9,10,0.7244576440782611,209
Field CA1,10,11,0.7226722382942248,209
Field CA3,1,2,0.7382064503083612,209
Field CA3,2,3,0.7365336480739098,209
Field CA3,3,4,0.7348550012288031,209
Field CA3,4,5,0.7331498886965125,209
Field CA3,5,6,0.7314593921792345,209
Field CA3,6,7,0.7297317047708529,209
